MC,merged_val_test,new_val,new_test,val_ratio_inside_class,test_ratio_inside_class
DCC_condensation,699,291,408,0.41630901287553645,0.5836909871244635
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,503,210,293,0.41749502982107356,0.5825049701789264
SN2,425,177,248,0.4164705882352941,0.5835294117647059
SNAr_alco(thi)ol(para),299,125,174,0.4180602006688963,0.5819397993311036
Cbz_deprotection,258,107,151,0.41472868217054265,0.5852713178294574
SN2_alcohol(thiol),258,107,151,0.41472868217054265,0.5852713178294574
carboxylic_acid_derivative_hydrolysis_or_formation,240,100,140,0.4166666666666667,0.5833333333333334
Jones_oxidation,225,94,131,0.4177777777777778,0.5822222222222222
nitrile_reduction,225,94,131,0.4177777777777778,0.5822222222222222
Boc_deprotection,212,88,124,0.41509433962264153,0.5849056603773585
amide_reduction,206,86,120,0.4174757281553398,0.5825242718446602
base_cat_ester_hydrolysis,191,80,111,0.418848167539267,0.581151832460733
Grignard,187,78,109,0.41711229946524064,0.5828877005347594
SNAr_alco(thi)ol(ortho),182,76,106,0.4175824175824176,0.5824175824175825
SN2_with_tosylate,182,76,106,0.4175824175824176,0.5824175824175825
Wittig,173,72,101,0.4161849710982659,0.5838150289017341
reductive_amination,168,70,98,0.4166666666666667,0.5833333333333334
Staudinger,163,68,95,0.4171779141104294,0.5828220858895705
Hantzsch_thiazole_synthesis,156,65,91,0.4166666666666667,0.5833333333333334
Ing_Manske,137,57,80,0.41605839416058393,0.583941605839416
(hemi)acetal(aminal)_hydrolysis,131,55,76,0.4198473282442748,0.5801526717557252
sulfide_oxidation,126,52,74,0.4126984126984127,0.5873015873015873
Friedel_Crafts_acylation,121,50,71,0.4132231404958678,0.5867768595041323
Horner_Wadsworth_Emmons,111,46,65,0.4144144144144144,0.5855855855855856
alcohol_attack_to_carbonyl_or_sulfonyl,106,44,62,0.41509433962264153,0.5849056603773585
primary_amide_dehydration,93,39,54,0.41935483870967744,0.5806451612903226
imidazole_synthesis,91,38,53,0.4175824175824176,0.5824175824175825
carbonyl_reduction,88,37,51,0.42045454545454547,0.5795454545454546
Wolf_Kishner_reduction,84,35,49,0.4166666666666667,0.5833333333333334
Vilsmeier_formylation,83,35,48,0.42168674698795183,0.5783132530120482
Appel,70,29,41,0.4142857142857143,0.5857142857142857
nucleophilic_attack_to_iso(thio)cyanate,67,28,39,0.417910447761194,0.582089552238806
O_demethylation,66,27,39,0.4090909090909091,0.5909090909090909
Mitsunobu,64,27,37,0.421875,0.578125
SNAr(ortho),63,26,37,0.4126984126984127,0.5873015873015873
acetal_formation_from_enol_ether,63,26,37,0.4126984126984127,0.5873015873015873
ester_reduction,61,25,36,0.4098360655737705,0.5901639344262295
imine_formation,59,25,34,0.423728813559322,0.576271186440678
SNAr(para),55,23,32,0.41818181818181815,0.5818181818181818
acetal_formation,53,22,31,0.41509433962264153,0.5849056603773585
amine_oxidation,53,22,31,0.41509433962264153,0.5849056603773585
imine_reduction,46,19,27,0.41304347826086957,0.5869565217391305
Knorr_pyrazole_synthesis,43,18,25,0.4186046511627907,0.5813953488372093
Wittig_ver_2,43,18,25,0.4186046511627907,0.5813953488372093
Mannich,39,16,23,0.41025641025641024,0.5897435897435898
Paal_Knorr_pyrrole_synthesis,39,16,23,0.41025641025641024,0.5897435897435898
Swern_oxidation,38,16,22,0.42105263157894735,0.5789473684210527
sulfide_oxidation_by_peroxide,36,15,21,0.4166666666666667,0.5833333333333334
alkene_epoxidation,36,15,21,0.4166666666666667,0.5833333333333334
double_SN2,35,15,20,0.42857142857142855,0.5714285714285714
aldol_addition,31,13,18,0.41935483870967744,0.5806451612903226
SN1,31,13,18,0.41935483870967744,0.5806451612903226
Fmoc_deprotection,28,12,16,0.42857142857142855,0.5714285714285714
alkynyl_attack_to_carbonyl,27,11,16,0.4074074074074074,0.5925925925925926
Weinreb_ketone_synthesis,27,11,16,0.4074074074074074,0.5925925925925926
Markovnikov_addition,26,11,15,0.4230769230769231,0.5769230769230769
aldol_condensation,24,10,14,0.4166666666666667,0.5833333333333334
isothiocyanate_synthesis,23,10,13,0.43478260869565216,0.5652173913043478
methyl_ester_synthesis,18,7,11,0.3888888888888889,0.6111111111111112
Michael_addition,14,6,8,0.42857142857142855,0.5714285714285714
lactone_reduction,10,4,6,0.4,0.6
intramolecular_lactonization,9,4,5,0.4444444444444444,0.5555555555555556
SN1_with_tosylate,6,2,4,0.3333333333333333,0.6666666666666666
