MC,Reactants,Reagents,Products,uspto_split
Swern_oxidation,CN(CCO)C(=O)OC(C)(C)C,O=C(Cl)C(=O)Cl.CS(C)=O.CCN(CC)CC,CN(CC=O)C(=O)OC(C)(C)C,train
SN2,CC(CCCc1ccc(F)cc1)C1=CC(O)(O)C2=C3CNCCC3C(C)(C)OC2=C1.BrCC1CC1,,CC(CCCc1ccc(F)cc1)C1=CC(O)(O)C2=C3CN(CC4CC4)CCC3C(C)(C)OC2=C1,train
alcohol_attack_to_carbonyl_or_sulfonyl,CC(CO)NC(=O)OC(C)(C)C.CS(=O)(=O)Cl,[H-].[Na+],CC(COS(C)(=O)=O)NC(=O)OC(C)(C)C,train
DCC_condensation,COc1cccc(-c2c(C(=O)O)[nH]c3ccc(NS(=O)(=O)c4ccc(C(C)(C)C)cc4)cc23)c1.NCCO,C(=NC1CCCCC1)=NC1CCCCC1,COc1cccc(-c2c(C(=O)NCCO)[nH]c3ccc(NS(=O)(=O)c4ccc(C(C)(C)C)cc4)cc23)c1,train
SN2,Cc1ccncc1-c1c[nH]c(=O)[nH]c1=O.COC(CCBr)OC,,COC(CCn1cc(-c2cnccc2C)c(=O)[nH]c1=O)OC,train
DCC_condensation,Cc1ccc(C(=O)O)c(CN2CCN(C(=O)OC(C)(C)C)CC2)c1.C1COCCN1,C(=NC1CCCCC1)=NC1CCCCC1,Cc1ccc(C(=O)N2CCOCC2)c(CN2CCN(C(=O)OC(C)(C)C)CC2)c1,train
reductive_amination,Nc1cnc(-c2ccc(C(F)(F)F)cc2)nc1.CCCC(=O)c1ccc(C(=O)OCC)cc1,[H+].[BH3-]C#N.[Na+],CCCC(Nc1cnc(-c2ccc(C(F)(F)F)cc2)nc1)c1ccc(C(=O)OCC)cc1,train
DCC_condensation,CCOC(=O)Cc1ccc(N)c(Cl)c1.O=C(O)c1c[nH]c2ccccc12,C(=NC1CCCCC1)=NC1CCCCC1,CCOC(=O)Cc1ccc(NC(=O)c2c[nH]c3ccccc23)c(Cl)c1,train
DCC_condensation,COc1ccc(Cn2c(=O)c3c(Nc4cccc(C(=O)O)c4)c(C)c(=O)n(C)c3n(-c3ccc(I)cc3F)c2=O)cc1.OC1CCNC1,C(=NC1CCCCC1)=NC1CCCCC1,COc1ccc(Cn2c(=O)c3c(Nc4cccc(C(=O)N5CCC(O)C5)c4)c(C)c(=O)n(C)c3n(-c3ccc(I)cc3F)c2=O)cc1,train
imine_formation,O=Cc1nc(NCc2ccc3c(c2)OCO3)c2cc(Cl)ccc2n1.NO,[H+],ON=Cc1nc(NCc2ccc3c(c2)OCO3)c2cc(Cl)ccc2n1,train
imine_formation,NC(=O)c1c(Nc2ccc(C(=O)O)cc2)n[nH]c1N.O=Cc1ccc(O)cc1,[H+],NC(=O)c1c(Nc2ccc(C(=O)O)cc2)n[nH]c1N=Cc1ccc(O)cc1,train
alcohol_attack_to_carbonyl_or_sulfonyl,CC1CC(O)C(CN=[N+]=[N-])O1.CS(=O)(=O)Cl,[H-].[Na+],CC1CC(OS(C)(=O)=O)C(CN=[N+]=[N-])O1,train
SN2,CCOc1cc(OC(C)C)c(F)c(C(Cl)c2nc(-c3ccccc3)cn2C(c2ccccc2)(c2ccccc2)c2ccccc2)c1.Nc1ccc2cnccc2c1,,CCOc1cc(OC(C)C)c(F)c(C(Nc2ccc3cnccc3c2)c2nc(-c3ccccc3)cn2C(c2ccccc2)(c2ccccc2)c2ccccc2)c1,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,Nc1ncnc(NC2CCCc3ccccc32)n1.CC(=O)OC(C)=O,,CC(=O)Nc1ncnc(NC2CCCc3ccccc32)n1,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,Cc1cc(C(F)(F)F)c(N)c(C)n1.O=C(Br)CBr,,Cc1cc(C(F)(F)F)c(NC(=O)CBr)c(C)n1,train
DCC_condensation,CCCCCC=CC(=O)O.COC(=O)C(N)CC(C)C,C(=NC1CCCCC1)=NC1CCCCC1,CCCCCC=CC(=O)NC(CC(C)C)C(=O)OC,train
SN2,CS(=O)(=O)OCC1COc2cccnc2O1.NCCCN1CCC(=O)NC1=O,,O=C1CCN(CCCNCC2COc3cccnc3O2)C(=O)N1,train
DCC_condensation,O=C(O)c1cccc2nsnc12.CNOC,C(=NC1CCCCC1)=NC1CCCCC1,CON(C)C(=O)c1cccc2nsnc12,train
Swern_oxidation,OCc1ccc2cc[nH]c2c1,O=C(Cl)C(=O)Cl.CS(C)=O.CCN(CC)CC,O=Cc1ccc2cc[nH]c2c1,train
SN2_alcohol(thiol),Cc1cc(C=O)ccc1O.CCCCCBr,[H-].[Na+],CCCCCOc1ccc(C=O)cc1C,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,Nc1cc(COc2ccc([N+](=O)O)c3ccccc23)ccn1.COCC(=O)Cl,,COCC(=O)Nc1cc(COc2ccc([N+](=O)O)c3ccccc23)ccn1,train
SNAr(ortho),COc1ccc(-c2cncc(C#N)c2Cl)cc1OC.Cc1ccc(N)c2[nH]ccc12,,COc1ccc(-c2cncc(C#N)c2Nc2ccc(C)c3cc[nH]c23)cc1OC,train
reductive_amination,O=Cc1cc2nc(Cl)nc(N3CCOCC3)c2s1.OC1CCN(C2CNC2)CC1,[H+].[BH3-]C#N.[Na+],OC1CCN(C2CN(Cc3cc4nc(Cl)nc(N5CCOCC5)c4s3)C2)CC1,train
Boc_deprotection,Cc1cc(C)c2c(c1)c1c(n2C)CCN(C(=O)OC(C)(C)C)C1,[H+],Cc1cc(C)c2c(c1)c1c(n2C)CCNC1,train
Mitsunobu,Oc1ccc2[nH]ccc2c1.CC(C)(C)OCCO,c1ccc(P(c2ccccc2)c2ccccc2)cc1.CCOC(=O)N=NC(=O)OCC,CC(C)(C)OCCOc1ccc2[nH]ccc2c1,train
